Rinkimø pavadinimas;Apygardos Nr.;Apygardos pavadinimas;Apylinkës Unikalus Numeris;Apylinkës nr.;Apylinkës pavadinimas;Savivaldybës pavadinimas;Viso rinkëjø sàraðe;"Ið viso balsavo apylinkëje
 (Pat.+Paðt.)";Rinkëjø iki 24 m. (Vyrø);Rinkëjø iki 24 m. (Moterø);Balsavo iki 24 m. (Vyrø);Balsavo iki 24 m. (Moterø);Rinkëjø 25 -  29 m. (Vyrø);Rinkëjø 25 - 29 m. (Moterø);Bals. iki 25 - 29 m. (Vyrø);Bals. iki 25 - 29 m. (Moterø);Rinkëjø 30 -  34 m. (Vyrø);Rinkëjø 30 - 34 m. (Moterø);Bals. iki 30 - 34 m. (Vyrø);Bals. iki 30 - 34 m. (Moterø);Rink. 35 - 44 m. (Vyrø);Rink. 35 - 44 m. (Moterø);Bals. 35 - 44 m. (Vyrø);Bals. 35 - 44 m. (Moterø);Rink. 45 - 54 m. (Vyrø);Rink. 45 - 54 m. (Moterø);Bals. 45 - 54 m. (Vyrø);Bals. 45 - 54 m. (Moterø);Rink. 55 - 64 m. (Vyrø);Rink. 55 - 64 m. (Moterø);Bals. 55 - 64 m. (Vyrø);Bals. 55 - 64 m. (Moterø);Rink. 65 - 74 m. (Vyrø);Rink. 65 - 74 m. (Moterø);Bals. 65 - 74 m. (Vyrø);Bals. 65 - 74 m. (Moterø);Rink. nuo 75 m. (Vyrø);Rink. nuo 75 m. (Moterø);Bals. nuo 75 m. (Vyrø);Bals. nuo 75 m. (Moterø)
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15029;29;Birutës;Kauno miesto savivaldybë;3796;2103;174;144;94;75;163;170;83;92;206;246;109;141;412;399;233;238;277;289;149;167;277;344;142;195;169;211;100;129;112;203;66;90
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15030;30;Julijanavos;Kauno miesto savivaldybë;2113;1020;81;81;37;35;83;63;35;24;104;106;45;52;188;183;84;90;156;174;72;89;160;214;65;109;123;160;82;86;74;163;42;73
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15031;31;Piliakalnio;Kauno miesto savivaldybë;2635;1279;113;108;47;51;93;100;47;45;129;126;53;56;239;237;108;124;232;211;104;121;177;242;93;115;122;194;66;90;88;224;50;109
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15105;105;Sodø;Kauno miesto savivaldybë;3457;1445;159;154;47;63;124;120;48;43;142;138;40;49;259;260;102;108;258;327;96;156;282;362;129;175;153;247;69;107;128;344;58;155
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15106;106;Ðanèiø;Kauno miesto savivaldybë;2351;1184;111;89;58;48;103;104;46;57;129;122;61;61;200;180;104;106;178;220;91;102;182;245;79;126;100;154;46;74;62;172;30;95
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15107;107;Drobës;Kauno miesto savivaldybë;2262;967;103;90;38;44;84;72;27;31;94;101;37;40;171;149;64;69;190;202;82;91;194;235;81;96;124;197;61;94;70;186;43;69
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15108;108;Skuodo;Kauno miesto savivaldybë;2329;1115;103;87;36;45;106;95;34;43;120;114;55;59;188;209;78;110;198;202;88;100;179;212;89;108;105;165;53;100;75;171;40;77
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15109;109;Þiburio;Kauno miesto savivaldybë;3124;1590;119;110;55;54;119;108;52;58;124;136;59;70;243;245;119;113;236;288;105;148;224;306;114;160;144;280;74;167;121;321;76;166
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15117;117;Vaidoto;Kauno miesto savivaldybë;2570;1056;96;98;40;48;116;93;45;45;96;106;31;33;182;182;54;58;193;228;82;94;204;291;86;126;122;238;61;114;83;242;49;90
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15118;118;Puðø;Kauno miesto savivaldybë;2624;1148;93;111;34;40;97;103;31;50;113;109;46;47;199;181;85;88;204;244;90;112;221;252;84;99;127;207;63;105;101;262;53;121
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15120;120;Vièiûnø;Kauno miesto savivaldybë;2114;1129;102;78;45;42;83;70;35;37;80;87;32;44;173;176;80;97;152;213;89;126;191;186;104;100;91;168;63;105;98;166;57;73
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15122;122;Rokø;Kauno miesto savivaldybë;2820;1369;121;126;45;59;120;110;58;47;140;139;52;68;276;235;115;109;227;253;115;139;219;246;108;135;117;205;65;108;98;188;61;85
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );18;Panemunës;15123;123;Vaiðvydavos;Kauno miesto savivaldybë;2704;1505;120;111;65;52;92;98;39;45;119;134;59;66;307;293;163;166;230;235;125;130;206;234;122;157;133;156;86;96;72;164;54;80
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15012;12;Demokratø;Kauno miesto savivaldybë;1987;963;77;70;29;34;78;84;35;39;70;94;30;45;133;137;57;69;142;169;56;78;142;197;67;106;74;138;45;81;106;276;61;131
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15013;13;Linkuvos;Kauno miesto savivaldybë;2600;1255;94;91;37;46;92;106;43;45;97;114;44;62;187;185;84;88;179;199;82;90;209;288;101;154;103;175;55;85;120;361;67;172
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15015;15;Sàjungos;Kauno miesto savivaldybë;3010;1369;105;107;38;41;127;122;58;54;133;165;61;75;204;234;79;100;176;243;73;114;224;323;90;145;97;218;51;119;140;392;73;198
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15016;16;Dobilo;Kauno miesto savivaldybë;2843;1247;106;115;43;44;121;128;55;51;133;126;53;51;202;174;95;70;201;255;68;107;240;317;113;155;148;222;68;106;92;263;52;116
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15019;19;Seredþiaus;Kauno miesto savivaldybë;1332;511;46;50;17;23;71;52;31;15;60;47;17;14;98;97;26;40;110;120;36;53;120;147;42;58;67;111;27;56;37;99;19;37
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15021;21;Verðvø;Kauno miesto savivaldybë;4452;2014;174;174;67;86;179;175;72;74;213;245;82;105;358;358;150;185;337;396;153;198;353;473;148;206;207;314;106;162;139;357;76;144
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15022;22;Þagarës;Kauno miesto savivaldybë;2108;1075;85;69;26;34;66;70;32;42;86;87;26;43;151;165;59;79;197;172;103;87;183;215;91;121;120;203;79;116;86;153;54;83
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15024;24;Kaniûkø;Kauno miesto savivaldybë;4001;2170;172;164;91;95;182;221;81;108;270;305;144;148;475;445;259;238;258;310;158;194;298;417;160;242;156;165;86;86;67;96;37;43
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15027;27;J. Dobkevièiaus;Kauno miesto savivaldybë;4361;2095;195;188;92;74;159;158;63;68;179;186;79;94;363;337;149;176;342;353;148;182;351;436;176;234;239;356;125;178;142;377;70;187
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15028;28;Veiveriø;Kauno miesto savivaldybë;1734;744;65;71;22;22;68;62;26;26;84;70;33;26;132;146;51;59;133;128;55;59;166;188;82;95;95;125;45;62;62;139;30;51
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15125;125;Kazliðkiø;Kauno miesto savivaldybë;1140;619;50;49;18;22;62;59;29;28;55;51;30;28;109;93;63;54;89;87;48;48;98;116;54;67;45;62;35;31;38;77;21;43
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15126;126;Tirkiliðkiø;Kauno miesto savivaldybë;2714;1575;133;112;74;63;102;99;59;58;129;149;69;78;281;309;155;152;217;234;132;144;217;251;130;152;109;156;76;108;80;136;51;74
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );19;Aleksoto–Vilijampolës;15127;127;Romainiø;Kauno miesto savivaldybë;4948;2758;174;187;85;100;231;281;109;153;380;443;200;230;683;655;377;367;366;368;215;218;291;299;162;196;143;205;93;132;93;149;48;73
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15033;33;Tekstilininkø;Kauno miesto savivaldybë;1734;979;62;62;35;30;51;56;26;32;88;91;53;49;175;181;94;106;125;156;64;89;128;169;76;91;82;146;50;87;53;109;37;60
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15036;36;Maironio;Kauno miesto savivaldybë;1654;919;59;48;30;28;42;53;24;32;90;88;50;48;155;147;75;92;121;121;65;66;122;181;61;106;83;140;44;84;55;149;31;83
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15037;37;A. Mackevièiaus;Kauno miesto savivaldybë;1049;548;44;47;27;19;36;32;19;16;44;51;13;27;86;80;38;45;73;96;39;56;86;90;46;44;60;88;42;52;39;97;21;44
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15040;40;Radvilënø;Kauno miesto savivaldybë;2177;1265;73;75;36;48;78;91;39;55;93;73;47;36;125;139;61;82;146;191;75;105;126;193;69;110;125;224;80;140;125;300;83;199
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15042;42;J. Jablonskio;Kauno miesto savivaldybë;1801;1097;93;65;51;37;65;55;32;27;53;55;30;31;126;142;75;95;135;163;83;107;142;163;89;106;85;150;57;95;82;227;56;126
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15043;43;Auðros;Kauno miesto savivaldybë;2171;1200;82;63;44;32;68;74;38;52;105;99;55;61;207;193;111;101;147;176;80;91;145;169;81;88;116;192;78;121;100;235;59;108
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15045;45;Senojo tresto;Kauno miesto savivaldybë;2724;1509;104;96;57;54;112;112;63;64;138;123;89;69;240;231;148;128;190;209;99;116;166;234;86;145;141;215;70;118;113;300;61;142
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15049;49;Miðko;Kauno miesto savivaldybë;2826;1645;105;95;53;55;93;115;56;71;139;109;86;62;224;207;125;138;196;211;104;114;200;273;116;173;160;252;91;154;144;303;94;153
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15050;50;Jonavos;Kauno miesto savivaldybë;798;396;31;27;14;15;28;35;7;16;35;32;15;10;66;57;32;26;51;64;22;34;77;85;38;46;43;62;23;34;29;76;20;44
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15052;52;L. Karsavino;Kauno miesto savivaldybë;3303;1898;118;131;72;77;133;115;68;65;116;132;59;82;247;241;131;131;263;303;156;179;247;323;132;185;189;297;118;179;120;328;77;187
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15054;54;Algirdo;Kauno miesto savivaldybë;2627;1409;98;99;45;64;90;94;45;49;102;78;46;32;202;216;103;110;197;239;96;142;179;242;89;138;134;207;73;125;143;307;94;158
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15056;56;Purienø;Kauno miesto savivaldybë;3358;1710;160;142;75;87;122;117;55;51;141;130;68;62;261;255;114;136;242;289;113;147;307;438;155;234;155;253;89;148;105;241;59;117
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15061;61;Gerovës;Kauno miesto savivaldybë;4093;1910;135;161;40;69;181;189;94;82;185;157;73;67;279;284;108;127;313;344;132;163;279;405;123;196;185;318;91;168;208;470;129;248
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15063;63;S. Nëries;Kauno miesto savivaldybë;4375;2488;178;157;93;90;141;147;70;82;170;169;97;86;358;355;186;206;314;367;156;214;347;406;196;249;216;337;139;214;230;483;146;264
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );20;Centro–Þaliakalnio;15110;110;Breslaujos;Kauno miesto savivaldybë;3265;1679;110;133;57;66;119;108;54;54;114;141;45;67;266;262;126;144;228;276;111;143;286;382;158;206;173;296;101;166;99;272;57;124
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );21;Mariø;20047;47;Versmës;Klaipëdos miesto savivaldybë;3448;1360;114;117;36;39;100;115;34;41;117;124;31;45;274;311;74;110;255;284;85;112;220;282;75;123;246;426;111;208;137;326;73;163
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );21;Mariø;20048;48;Vakarø;Klaipëdos miesto savivaldybë;3566;1479;122;124;27;37;121;121;47;41;141;135;46;52;292;315;81;129;250;290;91;126;272;403;111;195;239;405;121;219;91;245;46;110
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );21;Mariø;20049;49;Aukuro;Klaipëdos miesto savivaldybë;3007;1215;106;108;39;36;98;115;33;44;111;117;34;41;228;250;69;103;223;266;73;117;204;246;69;107;179;319;84;167;135;302;67;132
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );21;Mariø;20054;54;Þelmenëlio;Klaipëdos miesto savivaldybë;2904;1120;84;101;30;36;89;116;24;43;151;134;43;54;254;251;71;92;189;217;57;94;230;308;86;139;211;308;92;153;79;182;34;72
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );21;Mariø;20055;55;Broþynø;Klaipëdos miesto savivaldybë;3256;1320;109;104;37;50;103;103;32;32;157;154;52;47;328;304;101;124;211;238;77;118;258;368;96;171;212;343;100;173;92;172;45;65
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );21;Mariø;20056;56;Laukininkai;Klaipëdos miesto savivaldybë;3685;1399;127;116;38;42;99;119;28;36;159;184;40;53;363;366;103;135;221;250;76;120;329;471;124;225;268;349;116;161;78;186;30;72
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );21;Mariø;20057;57;Budelkiemio;Klaipëdos miesto savivaldybë;3465;1276;119;130;37;40;127;119;29;51;167;208;40;64;312;326;72;112;205;218;64;97;340;466;138;222;221;293;89;126;55;159;27;68
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );21;Mariø;20058;58;Berþelio;Klaipëdos miesto savivaldybë;3579;1375;78;122;19;39;126;121;38;49;198;211;58;66;338;329;109;140;177;206;50;86;438;552;151;268;193;287;81;132;53;150;31;58
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );21;Mariø;20067;67;Volungëlës;Klaipëdos miesto savivaldybë;2439;1060;83;88;26;31;109;104;35;53;156;164;63;75;254;251;85;102;168;211;74;115;246;301;111;152;89;122;38;59;21;72;13;28
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );21;Mariø;20068;68;Banduþiø;Klaipëdos miesto savivaldybë;3676;1442;124;132;38;43;132;131;34;46;200;210;56;82;352;310;107;135;219;238;70;104;406;582;173;275;168;246;73;114;69;157;34;58
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;28001;1;Kopø;Neringos savivaldybë;2289;1273;84;75;39;27;66;54;30;30;113;95;50;39;250;209;121;108;260;225;135;131;220;221;142;140;121;143;83;100;58;95;36;62
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;28002;2;Smëlio;Neringos savivaldybë;1442;783;51;35;20;19;50;39;23;17;83;46;35;22;191;124;97;71;189;126;97;71;146;139;79;92;83;66;51;43;36;38;26;20
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;28003;3;Puðø;Neringos savivaldybë;677;382;28;18;13;9;22;21;13;12;20;34;11;16;82;56;40;29;115;65;72;34;68;53;38;34;38;25;25;18;13;19;7;11
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;20009;9;Muzikos Centro;Klaipëdos miesto savivaldybë;1141;625;33;39;20;19;24;26;10;12;62;53;33;26;103;147;58;81;94;86;42;56;94;122;51;59;59;87;37;54;40;72;20;47
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;20010;10;Þaliakalnio;Klaipëdos miesto savivaldybë;1055;488;27;26;13;9;33;29;13;16;54;59;25;28;101;104;42;50;72;81;28;42;81;111;35;51;41;82;20;41;35;119;22;53
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;20011;11;Saulutës;Klaipëdos miesto savivaldybë;4141;1565;141;160;42;60;168;176;60;66;206;226;72;82;395;396;118;157;354;412;117;196;340;427;120;180;179;269;57;114;70;222;34;90
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;20013;13;Strëvos;Klaipëdos miesto savivaldybë;2788;991;109;78;27;21;100;107;30;36;103;128;34;31;192;223;60;72;236;249;69;89;227;290;77;111;152;228;69;106;96;270;47;112
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;20014;14;Sulupës;Klaipëdos miesto savivaldybë;2490;963;79;96;22;33;81;95;21;30;94;111;27;42;168;167;43;48;192;202;54;80;237;281;75;139;152;247;77;122;93;195;66;84
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;20040;40;Pamario;Klaipëdos miesto savivaldybë;3625;1421;132;119;35;36;127;103;32;30;127;145;36;46;304;320;107;132;284;284;93;103;244;365;83;162;274;420;134;215;119;258;53;124
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;20043;43;Rambyno;Klaipëdos miesto savivaldybë;2708;1108;93;81;26;20;94;101;29;39;147;147;42;55;237;218;81;88;190;243;73;97;236;297;96;139;152;247;76;131;68;157;45;71
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;20050;50;Smiltelës;Klaipëdos miesto savivaldybë;3242;1361;104;111;33;39;102;124;35;49;112;128;30;40;253;259;84;113;233;265;86;116;160;237;53;109;283;452;146;240;136;283;64;124
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;20051;51;Alksnynës;Klaipëdos miesto savivaldybë;3332;1501;87;103;34;41;101;109;29;47;136;126;51;50;275;291;94;144;222;256;84;129;299;383;129;181;236;338;120;195;123;247;62;111
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;20052;52;Baltijos;Klaipëdos miesto savivaldybë;1567;579;66;59;17;14;54;47;16;17;71;85;22;28;189;184;54;69;125;146;46;55;130;159;56;80;61;85;21;33;33;73;16;35
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );22;Pajûrio;20065;65;Kurðiø;Klaipëdos miesto savivaldybë;1619;817;44;60;21;29;50;56;26;24;61;103;27;45;153;200;73;102;122;123;60;69;120;166;60;85;69;107;37;61;57;128;36;62
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20001;1;Gimnazijos;Klaipëdos miesto savivaldybë;3003;1552;109;103;42;48;80;108;37;57;136;138;52;56;275;284;128;152;239;270;123;152;257;305;140;171;137;216;82;125;99;247;56;131
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20004;4;Danës;Klaipëdos miesto savivaldybë;1149;614;33;45;17;14;52;36;28;16;60;45;34;29;95;114;47;69;71;112;37;59;79;118;52;63;49;90;18;51;58;92;38;42
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20005;5;Eglës;Klaipëdos miesto savivaldybë;1549;706;50;47;19;16;54;78;17;38;61;84;23;41;119;120;46;55;93;126;40;57;104;150;37;73;64;130;28;68;84;185;45;103
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20006;6;Dviraèiø Treko;Klaipëdos miesto savivaldybë;2381;1162;59;54;29;21;72;64;31;35;85;110;35;42;210;254;87;124;144;156;59;82;145;242;61;126;181;306;104;173;103;196;50;103
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20007;7;Kretingos;Klaipëdos miesto savivaldybë;1944;972;68;53;25;29;75;52;29;24;69;98;19;39;162;179;62;95;130;175;73;106;180;214;86;117;106;146;57;76;83;154;59;76
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20008;8;Ðviesos;Klaipëdos miesto savivaldybë;2589;1317;81;107;37;47;94;94;39;44;105;133;46;63;228;259;105;141;198;232;93;131;190;226;98;119;120;190;70;105;122;210;77;102
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20015;15;Tauralaukio;Klaipëdos miesto savivaldybë;3195;1676;111;119;43;53;120;166;57;76;187;207;89;105;369;413;197;245;262;281;134;160;246;255;127;147;121;165;72;102;64;109;33;36
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20016;16;Baltikalnio;Klaipëdos miesto savivaldybë;1362;619;53;51;21;21;51;54;21;21;53;70;30;39;111;108;37;44;110;131;43;60;99;148;35;74;53;67;31;41;46;157;25;76
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20017;17;Saulëtekio;Klaipëdos miesto savivaldybë;2118;1028;104;74;46;31;78;81;33;43;108;104;41;39;173;171;61;87;185;201;88;112;200;207;105;117;109;138;58;78;58;127;31;58
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20018;18;Ðatrijos;Klaipëdos miesto savivaldybë;1137;497;28;38;4;12;36;42;12;12;55;52;24;27;92;85;28;33;89;80;41;39;128;135;62;65;67;86;33;49;38;86;22;34
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20020;20;Pingvinuko;Klaipëdos miesto savivaldybë;1545;638;56;40;19;13;63;74;20;29;65;69;25;24;100;100;30;49;118;147;38;62;139;157;45;69;74;106;34;54;57;180;31;96
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20025;25;Ðilojø;Klaipëdos miesto savivaldybë;3505;1872;154;139;61;69;110;121;49;45;129;196;49;88;419;501;205;263;289;293;152;180;279;301;157;187;161;205;103;134;74;134;50;80
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20059;59;Giruliø;Klaipëdos miesto savivaldybë;582;378;27;29;15;16;12;13;5;10;27;35;15;21;55;61;32;40;64;60;42;45;56;60;40;41;25;26;19;18;8;24;4;15
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20060;60;Molo;Klaipëdos miesto savivaldybë;973;475;55;35;19;17;39;30;18;12;43;37;14;21;65;66;17;33;87;87;34;54;105;107;54;65;54;69;30;43;29;65;17;27
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20062;62;Jûreiviø;Klaipëdos miesto savivaldybë;291;281;22;0;22;0;44;1;43;1;26;1;26;1;43;1;42;1;53;3;50;3;80;4;76;4;12;1;11;1;0;0;0;0
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );23;Danës;20063;63;Prekybos uosto;Klaipëdos miesto savivaldybë;2664;1110;84;83;23;38;100;91;34;39;104;114;28;47;221;254;85;97;182;250;75;113;191;284;81;129;98;194;40;93;106;308;48;140
